AgeSubject,WordCategory,RTlexdec,RTnaming,WrittenFrequency,LengthInLetters,FamilySize,NumberSimplexSynsets
young,N,6.54375355965694,6.14504363503628,3.91202300542815,3,1.38629436111989,0.693147180559945
young,N,6.3975960997593,6.24688165897249,4.52178857704904,5,1.38629436111989,1.09861228866811
young,N,6.30494228210337,6.14375635745024,6.50578406012823,6,1.6094379124341,2.484906649788
young,N,6.42422051545205,6.1318784508232,5.01727983681492,4,1.94591014905531,1.09861228866811
young,N,6.45059679646508,6.19847871649231,4.89034912822175,4,2.19722457733622,2.484906649788
young,N,6.53197032497538,6.16772611252206,4.77068462446567,4,1.38629436111989,1.6094379124341
young,N,6.37058567987654,6.1238077340957,6.383506634884,4,1.09861228866811,1.79175946922805
young,N,6.2668589342206,6.09604976229806,7.15929190479756,3,3.68887945411394,2.07944154167984
young,N,6.60864818886089,6.11765657234574,4.89034912822175,3,1.6094379124341,1.6094379124341
young,N,6.28484286510464,6.17918815319093,5.92958914338989,5,1.79175946922805,1.94591014905531
young,N,6.60716356790878,6.1966477730452,3.40119738166216,5,0.693147180559945,1.09861228866811
young,N,6.41439294709245,6.1845611770699,11.2796936982972,3,2.70805020110221,0.693147180559945
young,N,6.63358155655515,6.1978687744179,3.52636052461616,5,1.09861228866811,1.09861228866811
young,N,6.33315528648419,6.14311209671712,5.99893656194668,4,3.13549421592915,2.30258509299405
young,N,6.47212988777908,6.22594360808594,1.94591014905531,5,0.693147180559945,0.693147180559945
young,N,6.32597056627565,6.15634319029022,6.59441345974978,5,3.17805383034795,2.63905732961526
young,N,6.47245448030239,6.12970359133175,4.07753744390572,4,1.79175946922805,1.38629436111989
young,N,6.44974345970876,6.16583793405276,5.80211837537706,5,1.09861228866811,1.38629436111989
young,N,6.38820840207076,6.14953610167848,6.16120732169508,4,2.19722457733622,2.30258509299405
young,N,6.37587624601831,6.17960248922338,5.03043792139244,5,1.94591014905531,1.09861228866811
young,N,6.42433403479506,6.2093945313693,3.97029191355212,4,1.38629436111989,1.09861228866811
young,N,6.54514849067587,6.1597294369122,2.484906649788,4,1.6094379124341,0.693147180559945
young,N,6.65544035036765,6.21400791835016,0.693147180559945,5,1.09861228866811,1.38629436111989
young,N,6.39359075395063,6.1491091161895,6.08449941307517,4,2.70805020110221,1.94591014905531
young,N,6.29882056210583,6.11257537285704,5.40717177146012,3,2.07944154167984,2.07944154167984
young,N,6.50964803527717,6.15166829864832,4.18965474202643,5,1.09861228866811,1.38629436111989
young,N,6.32491436367301,6.10680014578789,5.12396397940326,4,2.484906649788,1.09861228866811
young,N,6.56629261084571,6.19011046682179,2.99573227355399,4,0.693147180559945,0.693147180559945
young,N,6.52702180709316,6.12970359133175,6.08449941307517,4,2.83321334405622,2.07944154167984
young,N,6.3812405557515,6.12796029169652,6.96696713861398,5,1.79175946922805,1.09861228866811
young,N,6.36837584779809,6.10613162208611,9.3061958576197,5,1.94591014905531,0.693147180559945
young,N,6.29236511897893,6.13578131787622,5.40717177146012,3,1.94591014905531,1.94591014905531
young,N,6.27703814829566,6.12446454856923,7.54802896993501,3,3.66356164612965,2.19722457733622
young,N,6.45535578368476,6.15358339658442,7.46278915741245,4,1.79175946922805,2.07944154167984
young,N,6.34968080261554,6.13945342482143,5.4553211153577,4,1.38629436111989,1.38629436111989
young,N,6.47256265440098,6.1416072055377,3.85014760171006,4,2.07944154167984,2.07944154167984
young,N,6.53373069670829,6.2079862221133,1.38629436111989,6,1.6094379124341,1.09861228866811
young,N,6.54276010342769,6.21660610108486,4.56434819146784,5,1.6094379124341,0.693147180559945
young,N,6.37660789319285,6.20395151823366,6.48768401848461,5,3.3322045101752,2.77258872223978
young,N,6.42363649804471,6.10009471163343,8.48755838628655,4,2.77258872223978,1.38629436111989
young,N,6.3554477207612,6.18187827379927,5.32300997913841,5,1.94591014905531,1.6094379124341
young,N,6.33327962813969,6.16730682530418,4.4188406077966,5,1.79175946922805,1.38629436111989
young,N,6.36394147938917,6.18208490671663,5.70044357339069,5,2.19722457733622,1.09861228866811
young,N,6.32312163807142,6.0897249162755,7.9973268229981,3,2.94443897916644,1.6094379124341
young,N,6.7751377543673,6.23087507088606,1.6094379124341,5,0.693147180559945,1.09861228866811
young,N,6.48220480361062,6.1603630835698,4.24849524204936,3,5.51745289646471,1.09861228866811
young,N,6.44088274274461,6.10345304905603,4.14313472639153,5,1.09861228866811,1.38629436111989
young,N,6.46533568788021,6.16289366273551,6.36302810354046,4,2.77258872223978,2.30258509299405
young,N,6.61097864273742,6.1593067826371,1.79175946922805,4,0.693147180559945,0.693147180559945
young,N,6.53580714861058,6.14504363503628,4.49980967033027,5,2.30258509299405,1.09861228866811
young,N,6.51383823457297,6.16667756466464,5.22035582507832,5,1.94591014905531,1.38629436111989
young,N,6.364234272378,6.17773662364629,4.68213122712422,5,1.6094379124341,2.07944154167984
young,N,6.5170506963472,6.11500873319944,3.13549421592915,5,1.38629436111989,1.38629436111989
young,N,6.38968682244656,6.19277140381302,6.69826805411541,5,2.99573227355399,0.693147180559945
young,N,6.38617199856319,6.07603544855825,6.70073110954781,5,2.70805020110221,1.09861228866811
young,N,6.65654655939958,6.21840089666089,3.68887945411394,5,1.79175946922805,1.38629436111989
young,N,6.71544399055881,6.27870902382872,3.04452243772342,4,0.693147180559945,1.09861228866811
young,N,6.62882149508806,6.16919223489171,1.09861228866811,5,0.693147180559945,0.693147180559945
young,N,6.50721800911027,6.16814522401185,6.64898455002478,4,3.68887945411394,1.09861228866811
young,N,6.4405477370384,6.22217936391851,5.57972982598622,5,1.09861228866811,0.693147180559945
young,N,6.39942653541473,6.12336961798792,2.70805020110221,5,0.693147180559945,0.693147180559945
young,N,6.5617941650217,6.19481347109401,2.83321334405622,6,0.693147180559945,1.09861228866811
young,N,6.30539899070383,6.13923779139741,5.23644196282995,5,1.94591014905531,1.09861228866811
